Subject	Self-reported ancestry	GD1	GD2	GD3	GD4	P_f (%)	P_e (%)	P_a (%)	PopID	Computed population
HG00310	EUR	1.64	1.44	0.81	0.02	  0.0	 94.5	  5.5	1	European
NA18557	EAS	1.90	1.16	0.82	-0.03	  0.6	  0.0	 99.4	3	East Asian
HG00189	EUR	1.66	1.43	0.82	0.01	  0.0	 89.8	 10.2	1	European
NA20278	AFR	1.47	1.32	0.76	0.03	 46.5	 53.5	  0.0	4	African American
HG03074	AFR	1.30	1.17	0.83	0.02	 98.9	  1.1	  0.0	2	African
HG01515	EUR	1.62	1.46	0.83	0.01	  0.3	 99.7	  0.0	1	European
NA18966	EAS	1.90	1.17	0.82	-0.02	  0.2	  0.0	 99.8	3	East Asian
HG01395	AMR	1.62	1.40	0.81	0.00	 10.3	 81.0	  8.7	5	Hispanic1
HG01522	EUR	1.62	1.46	0.84	0.02	  1.0	 99.0	  0.0	1	European
HG01384	AMR	1.65	1.40	0.80	-0.02	  5.9	 80.3	 13.8	6	Hispanic2
NA18537	EAS	1.90	1.17	0.82	-0.03	  0.0	  0.0	100.0	3	East Asian
HG03259	AFR	1.30	1.18	0.87	0.02	 94.8	  5.2	  0.0	4	African American
HG02860	AFR	1.30	1.18	0.83	0.02	 96.1	  3.9	  0.0	2	African
NA19197	AFR	1.30	1.17	0.83	0.02	 99.6	  0.4	  0.0	2	African
HG01985	AFR	1.32	1.20	0.81	0.02	 90.0	 10.0	  0.0	4	African American
HG03238	SAS	1.67	1.38	0.82	0.06	  4.9	 74.4	 20.7	8	South Asian
NA19452	AFR	1.32	1.19	0.83	0.02	 93.2	  6.8	  0.0	4	African American
HG02012	AFR	1.33	1.19	0.79	0.02	 90.5	  7.9	  1.6	4	African American
HG00127	EUR	1.63	1.45	0.81	0.02	  0.0	100.0	  0.0	1	European
HG01092	AMR	1.57	1.36	0.79	-0.00	 24.3	 67.4	  8.2	5	Hispanic1
NA19004	EAS	1.90	1.16	0.82	-0.03	  0.2	  0.0	 99.8	3	East Asian
NA18566	EAS	1.90	1.17	0.83	-0.03	  0.0	  0.1	 99.9	3	East Asian
HG00174	EUR	1.65	1.45	0.83	0.02	  0.0	 96.5	  3.5	1	European
HG00343	EUR	1.64	1.43	0.83	0.02	  0.1	 94.2	  5.7	1	European
NA20809	EUR	1.62	1.44	0.83	0.03	  3.5	 96.5	  0.0	1	European
HG00263	EUR	1.62	1.46	0.83	0.03	  0.0	100.0	  0.0	1	European
HG01075	AMR	1.61	1.41	0.82	0.02	  9.4	 86.8	  3.8	5	Hispanic1
HG00864	EAS	1.89	1.17	0.84	-0.01	  1.4	  0.8	 97.7	3	East Asian
HG02165	EAS	1.88	1.17	0.83	-0.01	  2.5	  0.9	 96.7	3	East Asian
HG02389	EAS	1.89	1.16	0.83	-0.01	  1.3	  0.0	 98.7	3	East Asian
HG01489	AMR	1.65	1.42	0.81	0.00	  1.5	 88.3	 10.2	1	European
NA12156	EUR	1.63	1.46	0.84	0.02	  0.0	100.0	  0.0	1	European
NA19248	AFR	1.30	1.16	0.82	0.01	 99.4	  0.0	  0.6	2	African
