DS No.	Sample	#SNPs	GD1	GD2	GD3	GD4	F(%)	E(%)	A(%)	African	European	Asian	Mexican	Indian-Pakistani
0	HG00096	9921	1.625842	1.458904	0.842313	0.022863	  0.00	100.00	  0.00	1.149661	0.899310	1.189421	0.966702	0.943839
0	HG00097	9921	1.621846	1.450032	0.810738	0.028660	  1.31	 98.69	  0.00	1.122574	0.889377	1.173346	0.957892	0.929232
0	HG00099	9921	1.628023	1.453259	0.815656	0.020027	  0.00	100.00	  0.00	1.130999	0.888742	1.172479	0.959153	0.939126
0	HG00100	9921	1.635944	1.446675	0.819663	0.028484	  0.00	 97.88	  2.12	1.136359	0.895399	1.165540	0.962756	0.934272
0	HG00101	9921	1.628482	1.448571	0.820907	0.021154	  0.44	 99.05	  0.51	1.133136	0.895453	1.172592	0.962280	0.941126
0	HG00102	9921	1.634550	1.450488	0.818136	0.020835	  0.00	 98.85	  1.15	1.135824	0.891600	1.167534	0.955524	0.934689
0	HG00103	9921	1.614264	1.453799	0.845525	0.023164	  1.94	 98.06	  0.00	1.142606	0.906680	1.197436	0.972155	0.948991
0	HG00105	9921	1.634236	1.449498	0.809099	0.017271	  0.00	 98.71	  1.29	1.129162	0.887391	1.162990	0.951762	0.934491
0	HG00106	9921	1.625505	1.456334	0.816741	0.024956	  0.00	100.00	  0.00	1.131244	0.887144	1.176251	0.952720	0.927764
0	HG00107	9921	1.629019	1.458041	0.834631	0.020952	  0.00	100.00	  0.00	1.146183	0.895331	1.182955	0.959500	0.938547
0	HG00108	9921	1.620758	1.457605	0.823378	0.014935	  0.30	 99.70	  0.00	1.133165	0.890396	1.183576	0.954664	0.939728
0	HG00109	9921	1.633492	1.451796	0.808575	0.024903	  0.00	 99.28	  0.72	1.129169	0.885313	1.164311	0.954681	0.929778
0	HG00110	9921	1.630253	1.447129	0.824063	0.026155	  0.37	 98.54	  1.09	1.135871	0.898180	1.172140	0.962157	0.936002
0	HG00111	9921	1.623184	1.459190	0.853496	0.023140	  0.00	100.00	  0.00	1.155624	0.905654	1.196924	0.976037	0.952897
