Family_ID	Subject_ID	Father_ID	Mother_ID	Sex	TWIN_ID
1420	CEPH1420.09	0	0	1	
1420	CEPH1420.10	0	0	2	
1420	CEPH1420.01	CEPH1420.09	CEPH1420.10	1	
1420	CEPH1420.11	0	0	1	
1420	CEPH1420.12	0	0	2	
1420	CEPH1420.02	CEPH1420.11	CEPH1420.12	2	
1344	CEPH1344.12	0	0	1	
1344	CEPH1344.13	0	0	2	
1344	CEPH1344.01	CEPH1344.12	CEPH1344.13	1	
1350	CEPH1350.10	0	0	1	
1350	CEPH1350.11	0	0	2	
1350	CEPH1350.01	CEPH1350.10	CEPH1350.11	1	
1350	CEPH1350.12	0	0	1	
1350	CEPH1350.13	0	0	2	
1350	CEPH1350.02	CEPH1350.12	CEPH1350.13	2	
1362	CEPH1362.13	0	0	1	
1362	CEPH1362.14	0	0	2	
1362	CEPH1362.01	CEPH1362.13	CEPH1362.14	1	
1362	CEPH1362.15	0	0	1	
1362	CEPH1362.16	0	0	2	
1362	CEPH1362.02	CEPH1362.15	CEPH1362.16	2	
1408	CEPH1408.10	0	0	1	
1408	CEPH1408.11	0	0	2	
1408	CEPH1408.01	CEPH1408.10	CEPH1408.11	1	
1408	CEPH1408.12	0	0	1	
1408	CEPH1408.13	0	0	2	
1408	CEPH1408.02	CEPH1408.12	CEPH1408.13	2	
1345	CEPH1345.12	0	0	1	
1345	CEPH1345.13	0	0	2	
1345	CEPH1345.02	CEPH1345.12	CEPH1345.13	2	
1340	CEPH1340.09	0	0	1	
1340	CEPH1340.10	0	0	2	
1340	CEPH1340.01	CEPH1340.09	CEPH1340.10	1	
1340	CEPH1340.11	0	0	1	
1340	CEPH1340.12	0	0	2	
1340	CEPH1340.02	CEPH1340.11	CEPH1340.12	2	
1349	CEPH1349.13	0	0	1	
1349	CEPH1349.14	0	0	2	
1349	CEPH1349.02	CEPH1349.13	CEPH1349.14	2	
1346	CEPH1346.11	0	0	1	
1346	CEPH1346.12	0	0	2	
1346	CEPH1346.01	CEPH1346.11	CEPH1346.12	1	
1334	CEPH1334.10	0	0	1	
1334	CEPH1334.11	0	0	2	
1334	CEPH1334.01	CEPH1334.10	CEPH1334.11	1	
1334	CEPH1334.12	0	0	1	
1334	CEPH1334.13	0	0	2	
1334	CEPH1334.02	CEPH1334.12	CEPH1334.13	2	
1375	CEPH1375.11	0	0	1	
1375	CEPH1375.12	0	0	2	
1375	CEPH1375.02	CEPH1375.11	CEPH1375.12	2	
1358	CEPH1358.11	0	0	1	
1358	CEPH1358.12	0	0	2	
1358	CEPH1358.01	CEPH1358.11	CEPH1358.12	1	
1463	CEPH1463.15	0	0	1	
1463	CEPH1463.16	0	0	2	
1463	CEPH1463.02	CEPH1463.15	CEPH1463.16	2	
1454	CEPH1454.12	0	0	1	
1454	CEPH1454.13	0	0	2	
1454	CEPH1454.01	CEPH1454.12	CEPH1454.13	1	
1454	CEPH1454.14	0	0	1	
1454	CEPH1454.15	0	0	2	
1454	CEPH1454.02	CEPH1454.14	CEPH1454.15	2	
1459	CEPH1459.09	0	0	1	
1459	CEPH1459.10	0	0	2	
1459	CEPH1459.01	CEPH1459.09	CEPH1459.10	1	
1459	CEPH1459.11	0	0	1	
1459	CEPH1459.12	0	0	2	
1459	CEPH1459.02	CEPH1459.11	CEPH1459.12	2	
1447	CEPH1447.09	0	0	1	
1447	CEPH1447.10	0	0	2	
1447	CEPH1447.01	CEPH1447.09	CEPH1447.10	1	
1447	CEPH1447.11	0	0	1	
1447	CEPH1447.12	0	0	2	
1447	CEPH1447.02	CEPH1447.11	CEPH1447.12	2	
1341	CEPH1341.11	0	0	1	
1341	CEPH1341.12	0	0	2	
1341	CEPH1341.01	CEPH1341.11	CEPH1341.12	1	
1341	CEPH1341.13	0	0	1	
1341	CEPH1341.14	0	0	2	
1341	CEPH1341.02	CEPH1341.13	CEPH1341.14	2	
1444	CEPH1444.13	0	0	1	
1444	CEPH1444.14	0	0	2	
1444	CEPH1444.02	CEPH1444.13	CEPH1444.14	2	
1347	CEPH1347.14	0	0	1	
1347	CEPH1347.15	0	0	2	
1347	CEPH1347.02	CEPH1347.14	CEPH1347.15	2	
1416	CEPH1416.11	0	0	1	
1416	CEPH1416.12	0	0	2	
1416	CEPH1416.01	CEPH1416.11	CEPH1416.12	1	
CH18526	CH18526	0	0	2	
CH18524	CH18524	0	0	1	
CH18529	CH18529	0	0	2	
CH18558	CH18558	0	0	1	
CH18532	CH18532	0	0	2	
CH18561	CH18561	0	0	1	
CH18562	CH18562	0	0	1	
CH18537	CH18537	0	0	2	
CH18603	CH18603	0	0	1	
CH18540	CH18540	0	0	2	
CH18605	CH18605	0	0	1	
CH18542	CH18542	0	0	2	
CH18545	CH18545	0	0	2	
CH18572	CH18572	0	0	1	
CH18547	CH18547	0	0	2	
CH18609	CH18609	0	0	1	
CH18550	CH18550	0	0	2	
CH18608	CH18608	0	0	1	
CH18552	CH18552	0	0	2	
CH18611	CH18611	0	0	1	
CH18555	CH18555	0	0	2	
CH18564	CH18564	0	0	2	
CH18566	CH18566	0	0	2	
CH18563	CH18563	0	0	1	
CH18570	CH18570	0	0	2	
CH18612	CH18612	0	0	1	
CH18571	CH18571	0	0	2	
CH18620	CH18620	0	0	1	
CH18621	CH18621	0	0	1	
CH18594	CH18594	0	0	2	
CH18622	CH18622	0	0	1	
CH18573	CH18573	0	0	2	
CH18623	CH18623	0	0	1	
CH18576	CH18576	0	0	2	
CH18577	CH18577	0	0	2	
CH18624	CH18624	0	0	1	
CH18579	CH18579	0	0	2	
CH18632	CH18632	0	0	1	
CH18582	CH18582	0	0	2	
CH18633	CH18633	0	0	1	
CH18635	CH18635	0	0	1	
CH18592	CH18592	0	0	2	
CH18636	CH18636	0	0	1	
CH18593	CH18593	0	0	2	
CH18637	CH18637	0	0	1	
JA18942	JA18942	0	0	2	
JA18940	JA18940	0	0	1	
JA18951	JA18951	0	0	2	
JA18943	JA18943	0	0	1	
JA18947	JA18947	0	0	2	
JA18944	JA18944	0	0	1	
JA18945	JA18945	0	0	1	
JA18949	JA18949	0	0	2	
JA18948	JA18948	0	0	1	
JA18952	JA18952	0	0	1	
JA18956	JA18956	0	0	2	
JA18964	JA18964	0	0	2	
JA18953	JA18953	0	0	1	
JA18968	JA18968	0	0	2	
JA18959	JA18959	0	0	1	
JA18969	JA18969	0	0	2	
JA18960	JA18960	0	0	1	
JA18961	JA18961	0	0	1	
JA18972	JA18972	0	0	2	
JA18965	JA18965	0	0	1	
JA18973	JA18973	0	0	2	
JA18966	JA18966	0	0	1	
