Subject_ID	Sample_ID
CEPH1334.01	CEPH1334.01
CEPH1334.02	CEPH1334.02
CEPH1334.10	CEPH1334.10
CEPH1334.11	CEPH1334.11
CEPH1334.12	CEPH1334.12
CEPH1334.13	CEPH1334.13
CEPH1340.01	CEPH1340.01
CEPH1340.02	CEPH1340.02
CEPH1340.09	CEPH1340.09
CEPH1340.10	CEPH1340.10
CEPH1340.11	CEPH1340.11
CEPH1340.12	CEPH1340.12
CEPH1341.01	CEPH1341.01
CEPH1341.02	CEPH1341.02
CEPH1341.11	CEPH1341.11
CEPH1341.12	CEPH1341.12
CEPH1341.13	CEPH1341.13
CEPH1341.13	CEPH1341.13.dup
CEPH1341.14	CEPH1341.14
CEPH1344.01	CEPH1344.01
CEPH1344.12	CEPH1344.12
CEPH1344.13	CEPH1344.13
CEPH1345.02	CEPH1345.02
CEPH1345.12	CEPH1345.12
CEPH1345.13	CEPH1345.13
CEPH1346.01	CEPH1346.01
CEPH1346.11	CEPH1346.11
CEPH1346.12	CEPH1346.12
CEPH1347.02	CEPH1347.02
CEPH1347.14	CEPH1347.14
CEPH1347.15	CEPH1347.15
CEPH1349.13	CEPH1349.13
CEPH1349.14	CEPH1349.14
CEPH1350.01	CEPH1350.01
CEPH1350.02	CEPH1350.02
CEPH1350.10	CEPH1350.10
CEPH1350.11	CEPH1350.11
CEPH1350.12	CEPH1350.12
CEPH1350.13	CEPH1350.13
CEPH1358.01	CEPH1358.01
CEPH1358.11	CEPH1358.11
CEPH1358.12	CEPH1358.12
CEPH1362.01	CEPH1362.01
CEPH1362.02	CEPH1362.02
CEPH1362.13	CEPH1362.13
CEPH1362.14	CEPH1362.14
CEPH1362.14	CEPH1362.14.dup
CEPH1362.15	CEPH1362.15
CEPH1362.16	CEPH1362.16
CEPH1375.02	CEPH1375.02
CEPH1375.11	CEPH1375.11
CEPH1375.12	CEPH1375.12
CEPH1408.01	CEPH1408.01
CEPH1408.02	CEPH1408.02
CEPH1408.10	CEPH1408.10
CEPH1408.12	CEPH1408.12
CEPH1408.13	CEPH1408.13
CEPH1408.13	CEPH1408.13.dup
CEPH1416.01	CEPH1416.01
CEPH1416.11	CEPH1416.11
CEPH1416.11	CEPH1416.11.dup
CEPH1416.12	CEPH1416.12
CEPH1420.01	CEPH1420.01
CEPH1420.02	CEPH1420.02
CEPH1420.09	CEPH1420.09
CEPH1420.09	CEPH1420.09.dup
CEPH1420.10	CEPH1420.10
CEPH1420.11	CEPH1420.11
CEPH1420.12	CEPH1420.12
CEPH1444.02	CEPH1444.02
CEPH1444.13	CEPH1444.13
CEPH1444.14	CEPH1444.14
CEPH1447.01	CEPH1447.01
CEPH1447.02	CEPH1447.02
CEPH1447.09	CEPH1447.09
CEPH1447.10	CEPH1447.10
CEPH1447.11	CEPH1447.11
CEPH1447.12	CEPH1447.12
CEPH1454.01	CEPH1454.01
CEPH1454.02	CEPH1454.02
CEPH1454.12	CEPH1454.12
CEPH1454.13	CEPH1454.13
CEPH1454.14	CEPH1454.14
CEPH1454.15	CEPH1454.15
CEPH1459.01	CEPH1459.01
CEPH1459.02	CEPH1459.02
CEPH1459.09	CEPH1459.09
CEPH1459.11	CEPH1459.11
CEPH1459.12	CEPH1459.12
CEPH1463.02	CEPH1463.02
CEPH1463.15	CEPH1463.15
CEPH1463.16	CEPH1463.16
CH18524	CH18524
CH18526	CH18526
CH18529	CH18529
CH18532	CH18532
CH18537	CH18537
CH18540	CH18540
CH18542	CH18542
CH18545	CH18545
CH18547	CH18547
CH18550	CH18550
CH18552	CH18552
CH18555	CH18555
CH18558	CH18558
CH18561	CH18561
CH18562	CH18562
CH18563	CH18563
CH18564	CH18564
CH18566	CH18566
CH18570	CH18570
CH18571	CH18571
CH18572	CH18572
CH18573	CH18573
CH18577	CH18577
CH18579	CH18579
CH18582	CH18582
CH18592	CH18592
CH18593	CH18593
CH18594	CH18594
CH18594	CH18594.dup
CH18603	CH18603
CH18603	CH18603.dup
CH18605	CH18605
CH18608	CH18608
CH18609	CH18609
CH18609	CH18609.dup
CH18611	CH18611
CH18612	CH18612
CH18620	CH18620
CH18621	CH18621
CH18622	CH18622
CH18623	CH18623
CH18624	CH18624
CH18632	CH18632
CH18633	CH18633
CH18635	CH18635
CH18636	CH18636
CH18637	CH18637
JA18940	JA18940
JA18942	JA18942
JA18943	JA18943
JA18944	JA18944
JA18945	JA18945
JA18947	JA18947
JA18948	JA18948
JA18949	JA18949
JA18951	JA18951
JA18951	JA18951.dup
JA18952	JA18952
JA18953	JA18953
JA18956	JA18956
JA18959	JA18959
JA18960	JA18960
JA18961	JA18961
JA18964	JA18964
JA18965	JA18965
JA18966	JA18966
JA18967	JA18967
JA18968	JA18968
JA18969	JA18969
JA18970	JA18970
JA18971	JA18971
JA18972	JA18972
JA18973	JA18973
JA18974	JA18974
JA18975	JA18975
JA18976	JA18976
JA18978	JA18978
JA18981	JA18981
JA18987	JA18987
JA18990	JA18990
JA18991	JA18991
JA18994	JA18994
JA18995	JA18995
JA18995	JA18995.dup
JA18997	JA18997
JA18998	JA18998
JA18999	JA18999
JA19000	JA19000
JA19003	JA19003
JA19007	JA19007
JA19012	JA19012
YOR004.01	YOR004.01
YOR004.02	YOR004.02
YOR004.03	YOR004.03
YOR005.01	YOR005.01
YOR005.02	YOR005.02
YOR005.03	YOR005.03
YOR009.01	YOR009.01
YOR009.02	YOR009.02
YOR009.03	YOR009.03
YOR012.01	YOR012.01
YOR012.02	YOR012.02
YOR012.03	YOR012.03
YOR012.03	YOR012.03.dup
YOR013.01	YOR013.01
YOR013.02	YOR013.02
YOR013.03	YOR013.03
YOR016.01	YOR016.01
YOR016.02	YOR016.02
YOR016.03	YOR016.03
YOR017.01	YOR017.01
YOR017.02	YOR017.02
YOR017.03	YOR017.03
YOR018.01	YOR018.01
YOR018.02	YOR018.02
YOR018.03	YOR018.03
YOR023.01	YOR023.01
YOR023.02	YOR023.02
YOR023.03	YOR023.03
YOR023.03	YOR023.03.dup
YOR024.01	YOR024.01
YOR024.02	YOR024.02
YOR024.03	YOR024.03
YOR024.03	YOR024.03.dup
YOR028.01	YOR028.01
YOR028.02	YOR028.02
YOR028.02	YOR028.02.dup
YOR028.03	YOR028.03
YOR040.01	YOR040.01
YOR040.02	YOR040.02
YOR040.03	YOR040.03
YOR042.01	YOR042.01
YOR042.02	YOR042.02
YOR042.03	YOR042.03
YOR043.01	YOR043.01
YOR043.02	YOR043.02
YOR043.03	YOR043.03
YOR045.01	YOR045.01
YOR045.02	YOR045.02
YOR045.03	YOR045.03
YOR047.01	YOR047.01
YOR047.02	YOR047.02
YOR047.03	YOR047.03
YOR048.01	YOR048.01
YOR048.02	YOR048.02
YOR048.03	YOR048.03
YOR050.01	YOR050.01
YOR050.02	YOR050.02
YOR050.03	YOR050.03
YOR051.01	YOR051.01
YOR051.02	YOR051.02
YOR051.03	YOR051.03
YOR056.01	YOR056.01
YOR056.03	YOR056.03
YOR058.01	YOR058.01
YOR058.02	YOR058.02
YOR058.03	YOR058.03
YOR060.01	YOR060.01
YOR060.02	YOR060.02
YOR060.03	YOR060.03
YOR071.01	YOR071.01
YOR071.02	YOR071.02
YOR071.03	YOR071.03
YOR072.01	YOR072.01
YOR072.02	YOR072.02
YOR072.03	YOR072.03
YOR074.01	YOR074.01
YOR074.02	YOR074.02
YOR074.03	YOR074.03
YOR077.01	YOR077.01
YOR077.02	YOR077.02
YOR077.03	YOR077.03
YOR101.01	YOR101.01
YOR101.02	YOR101.02
YOR101.03	YOR101.03
YOR105.01	YOR105.01
YOR105.02	YOR105.02
YOR105.03	YOR105.03
YOR112.01	YOR112.01
YOR112.02	YOR112.02
YOR112.03	YOR112.03
YOR117.01	YOR117.01
YOR117.02	YOR117.02
YOR117.02	YOR117.02.dup
YOR117.03	YOR117.03
CEPH1459.11	NA12874
CEPH1350.01	NA10856
CEPH1362.13	NA11992
CEPH1444.14	NA12751
CEPH1459.01	NA12864
CH18582	NA18582
YOR017.01	NA18872
YOR024.03	NA18862
YOR024.03	NA18862
YOR050.01	NA19211
CEPH1334.11	NA12145
CEPH1408.13	NA12156
CEPH1408.13	NA12156
CEPH1416.12	NA12249
CEPH1420.02	NA10839
CEPH1444.13	NA12750
CH18579	NA18579
CH18611	NA18611
CH18624	NA18624
JA18949	NA18949
JA18990	NA18990
CEPH1344.01	NA10851
CEPH1345.13	NA07345
CEPH1347.02	NA10859
CEPH1349.14	NA11840
CEPH1358.12	NA12717
CEPH1447.11	NA12762
CEPH1454.13	NA12813
CEPH1454.14	NA12814
CEPH1463.02	NA12878
CH18537	NA18537
CH18555	NA18555
CH18592	NA18592
CH18622	NA18622
JA18940	NA18940
JA18945	NA18945
JA18956	NA18956
JA18966	NA18966
JA18999	NA18999
YOR004.01	NA18500
YOR028.02	NA18912
YOR043.01	NA19139
YOR045.02	NA19201
YOR074.03	NA19144
CEPH1340.11	NA07022
CEPH1375.02	NA10863
CEPH1340.09	NA06994
CEPH1341.12	NA07055
CEPH1344.12	NA12056
CEPH1344.13	NA12057
CEPH1347.15	NA11882
CEPH1350.10	NA11829
CEPH1350.12	NA11831
CEPH1358.11	NA12716
CEPH1362.02	NA10861
CEPH1362.14	NA11993
CEPH1362.14	NA11993
CEPH1408.10	NA12154
